message,label,,
"idea ivr codes: dial 123452 - billed amount, dial 123453 - online bill payment,dial 123456 - gprs settings , dial 121471 - bill details ,dial 12148 - unbilled.",spam,,
"dear customer, your request for dnd activation on mob.no. 9848881942 has been successfully processed through communication id c1-68394768436.your dnd exclusion as per preference will be applicable in 7 days.thank you.",spam,,
"dear customer, your request for dnd activation is registered and would be actioned by 05/07/2016 5:00:00 pm.through communication id c1-68394768436.thank you.",spam,,
"dear customer, we thank you for choosing idea as your service provider. click here http://onelink.to/smsdl to download my idea app & manage your idea mobile services.",spam,,
"dear customer, we thank you for choosing idea as your service provider. click here http://onelink.to/smsdl to download my idea app & manage your idea mobile services.",spam,,
"dear customer, your request to start internet service has been processed. your data usage will continue at base tariffs once the pack benefits are over.thank you.",spam,,
"dear customer, your connection has been successfully reactivated. you may restart your phone to continue enjoying all your services.",spam,,
"hello, summary of your vodafone bill dated 28-jun-2016:
rentals: rs.1048/-
local: rs.0/-
sms: rs.0/-
std: rs.0/-
isd: rs.0/-
rmng: rs.121.51/-
data: rs.0/-
others: rs.0/-
disc: rs.0/-
serv tax: rs.175.43/-
total charges: rs.1344.94/-
add prev. bal: rs.1378.85/-
add adjust: rs.0/-
less pmnt: rs.1378.85/-
total bill due: rs.1344.94/-,due 16-jul-2016.
to pay online click on http://www.billdesk.com/vodafone/quickbillpay",spam,,
your request for sim replacement of 9810278744 is in process and will be completed in 20 minutes. insert new sim after 20 minutes to enjoy services.,spam,,
hi! we have received request for sim exchange starting with 89911190185059. please validate this carefully and reply with last 6 digits of new sim number within 2 hrs.,spam,,
your request for sim replacement of 9848881942 is in process and will be completed in 20 minutes. insert new sim after 20 minutes to enjoy services.,spam,,
hi! we have received request for sim exchange starting with 89911190185064. please validate this carefully and reply with last 6 digits of new sim number within 2 hrs.,spam,,
"sorry, last 6 digits entered by you are not matching with the digits sent earlier. please sms simex sim number to 55199 to continue with sim replacement.",spam,,
hi! we have received request for sim exchange starting with 89911190185064. please validate this carefully and reply with last 6 digits of new sim number within 2 hrs.,spam,,
"trai has launched the ""trai myspeed""app to test your download speed. the app could be downloaded from google play store or ios store.",spam,,
hi. are you happy with the help offered for your ticket no. 59158534. please reply with y or n to 55540 (tollfree),spam,,
"hi, your m-pesa account has been closed as of mon aug 01 13:36:54 ist 2016. please call us at 55400 (vodafone number) or 1800-123-55400 (non-vodafone number) for any help",spam,,
"dear customer, your idea mobile bill for 27-jul-16 is generated for an amount of rs250.21 with due date 11-aug-16 and your total outstanding amount is rs. 250.21 . you can view your bill online by logging into your account on our website www.ideacellular.com.",spam,,
"dear customer, your idea e-bill dated 27-jul-16 has been sent to kncharya@gmail.com with password  nars5202, for query dial 1214.",spam,,
"dear customer, your idea bill & unbill details are now online at my idea app click http://onelink.to/smsdl to access . we value ur association with idea.",spam,,
"idea ivr codes: dial 123452 - billed amount, dial 123453 - online bill payment,dial 123456 - gprs settings , dial 121471 - bill details ,dial 12148 - unbilled.",spam,,
"dear customer, your request for dnd activation on mob.no. 9848881942 has been successfully processed through communication id c1-68394768436.your dnd exclusion as per preference will be applicable in 7 days.thank you.",spam,,
"dear customer, your request for dnd activation is registered and would be actioned by 05/07/2016 5:00:00 pm.through communication id c1-68394768436.thank you.",spam,,
"dear customer, we thank you for choosing idea as your service provider. click here http://onelink.to/smsdl to download my idea app & manage your idea mobile services.",spam,,
"dear customer, we thank you for choosing idea as your service provider. click here http://onelink.to/smsdl to download my idea app & manage your idea mobile services.",spam,,
"dear customer, your request to start internet service has been processed. your data usage will continue at base tariffs once the pack benefits are over.thank you.",spam,,
"dear customer, your connection has been successfully reactivated. you may restart your phone to continue enjoying all your services.",spam,,
"hello, summary of your vodafone bill dated 28-jun-2016:
rentals: rs.1048/-
local: rs.0/-
sms: rs.0/-
std: rs.0/-
isd: rs.0/-
rmng: rs.121.51/-
data: rs.0/-
others: rs.0/-
disc: rs.0/-
serv tax: rs.175.43/-
total charges: rs.1344.94/-
add prev. bal: rs.1378.85/-
add adjust: rs.0/-
less pmnt: rs.1378.85/-
total bill due: rs.1344.94/-,due 16-jul-2016.
to pay online click on http://www.billdesk.com/vodafone/quickbillpay",spam,,
your request for sim replacement of 9810278744 is in process and will be completed in 20 minutes. insert new sim after 20 minutes to enjoy services.,spam,,
hi! we have received request for sim exchange starting with 89911190185059. please validate this carefully and reply with last 6 digits of new sim number within 2 hrs.,spam,,
your request for sim replacement of 9848881942 is in process and will be completed in 20 minutes. insert new sim after 20 minutes to enjoy services.,spam,,
hi! we have received request for sim exchange starting with 89911190185064. please validate this carefully and reply with last 6 digits of new sim number within 2 hrs.,spam,,
"sorry, last 6 digits entered by you are not matching with the digits sent earlier. please sms simex sim number to 55199 to continue with sim replacement.",spam,,
hi! we have received request for sim exchange starting with 89911190185064. please validate this carefully and reply with last 6 digits of new sim number within 2 hrs.,spam,,
"trai has launched the ""trai myspeed""app to test your download speed. the app could be downloaded from google play store or ios store.",spam,,
hi. are you happy with the help offered for your ticket no. 59158534. please reply with y or n to 55540 (tollfree),spam,,
"hi, your m-pesa account has been closed as of mon aug 01 13:36:54 ist 2016. please call us at 55400 (vodafone number) or 1800-123-55400 (non-vodafone number) for any help",spam,,
"dear customer, your idea mobile bill for 27-jul-16 is generated for an amount of rs250.21 with due date 11-aug-16 and your total outstanding amount is rs. 250.21 . you can view your bill online by logging into your account on our website www.ideacellular.com.",spam,,
"dear customer, your idea e-bill dated 27-jul-16 has been sent to kncharya@gmail.com with password  nars5202, for query dial 1214.",spam,,
"dear customer, your idea bill & unbill details are now online at my idea app click http://onelink.to/smsdl to access . we value ur association with idea.",spam,,
"idea ivr codes: dial 123452 - billed amount, dial 123453 - online bill payment,dial 123456 - gprs settings , dial 121471 - bill details ,dial 12148 - unbilled.",spam,,
"dear customer, your request for dnd activation on mob.no. 9848881942 has been successfully processed through communication id c1-68394768436.your dnd exclusion as per preference will be applicable in 7 days.thank you.",spam,,
"dear customer, your request for dnd activation is registered and would be actioned by 05/07/2016 5:00:00 pm.through communication id c1-68394768436.thank you.",spam,,
"dear customer, we thank you for choosing idea as your service provider. click here http://onelink.to/smsdl to download my idea app & manage your idea mobile services.",spam,,
"dear customer, we thank you for choosing idea as your service provider. click here http://onelink.to/smsdl to download my idea app & manage your idea mobile services.",spam,,
"dear customer, your request to start internet service has been processed. your data usage will continue at base tariffs once the pack benefits are over.thank you.",spam,,
"dear customer, your connection has been successfully reactivated. you may restart your phone to continue enjoying all your services.",spam,,
"hello, summary of your vodafone bill dated 28-jun-2016:
rentals: rs.1048/-
local: rs.0/-
sms: rs.0/-
std: rs.0/-
isd: rs.0/-
rmng: rs.121.51/-
data: rs.0/-
others: rs.0/-
disc: rs.0/-
serv tax: rs.175.43/-
total charges: rs.1344.94/-
add prev. bal: rs.1378.85/-
add adjust: rs.0/-
less pmnt: rs.1378.85/-
total bill due: rs.1344.94/-,due 16-jul-2016.
to pay online click on http://www.billdesk.com/vodafone/quickbillpay",spam,,
your request for sim replacement of 9810278744 is in process and will be completed in 20 minutes. insert new sim after 20 minutes to enjoy services.,spam,,
hi! we have received request for sim exchange starting with 89911190185059. please validate this carefully and reply with last 6 digits of new sim number within 2 hrs.,spam,,
your request for sim replacement of 9848881942 is in process and will be completed in 20 minutes. insert new sim after 20 minutes to enjoy services.,spam,,
hi! we have received request for sim exchange starting with 89911190185064. please validate this carefully and reply with last 6 digits of new sim number within 2 hrs.,spam,,
"sorry, last 6 digits entered by you are not matching with the digits sent earlier. please sms simex sim number to 55199 to continue with sim replacement.",spam,,
hi! we have received request for sim exchange starting with 89911190185064. please validate this carefully and reply with last 6 digits of new sim number within 2 hrs.,spam,,
"trai has launched the ""trai myspeed""app to test your download speed. the app could be downloaded from google play store or ios store.",spam,,
hi. are you happy with the help offered for your ticket no. 59158534. please reply with y or n to 55540 (tollfree),spam,,
"hi, your m-pesa account has been closed as of mon aug 01 13:36:54 ist 2016. please call us at 55400 (vodafone number) or 1800-123-55400 (non-vodafone number) for any help",spam,,
"dear customer, your idea mobile bill for 27-jul-16 is generated for an amount of rs250.21 with due date 11-aug-16 and your total outstanding amount is rs. 250.21 . you can view your bill online by logging into your account on our website www.ideacellular.com.",spam,,
"dear customer, your idea e-bill dated 27-jul-16 has been sent to kncharya@gmail.com with password  nars5202, for query dial 1214.",spam,,
"dear customer, your idea bill & unbill details are now online at my idea app click http://onelink.to/smsdl to access . we value ur association with idea.",spam,,
"idea ivr codes: dial 123452 - billed amount, dial 123453 - online bill payment,dial 123456 - gprs settings , dial 121471 - bill details ,dial 12148 - unbilled.",spam,,
"dear customer, your request for dnd activation on mob.no. 9848881942 has been successfully processed through communication id c1-68394768436.your dnd exclusion as per preference will be applicable in 7 days.thank you.",spam,,
"dear customer, your request for dnd activation is registered and would be actioned by 05/07/2016 5:00:00 pm.through communication id c1-68394768436.thank you.",spam,,
"dear customer, we thank you for choosing idea as your service provider. click here http://onelink.to/smsdl to download my idea app & manage your idea mobile services.",spam,,
"dear customer, we thank you for choosing idea as your service provider. click here http://onelink.to/smsdl to download my idea app & manage your idea mobile services.",spam,,
"dear customer, your request to start internet service has been processed. your data usage will continue at base tariffs once the pack benefits are over.thank you.",spam,,
"dear customer, your connection has been successfully reactivated. you may restart your phone to continue enjoying all your services.",spam,,
"hello, summary of your vodafone bill dated 28-jun-2016:
rentals: rs.1048/-
local: rs.0/-
sms: rs.0/-
std: rs.0/-
isd: rs.0/-
rmng: rs.121.51/-
data: rs.0/-
others: rs.0/-
disc: rs.0/-
serv tax: rs.175.43/-
total charges: rs.1344.94/-
add prev. bal: rs.1378.85/-
add adjust: rs.0/-
less pmnt: rs.1378.85/-
total bill due: rs.1344.94/-,due 16-jul-2016.
to pay online click on http://www.billdesk.com/vodafone/quickbillpay",spam,,
your request for sim replacement of 9810278744 is in process and will be completed in 20 minutes. insert new sim after 20 minutes to enjoy services.,spam,,
hi! we have received request for sim exchange starting with 89911190185059. please validate this carefully and reply with last 6 digits of new sim number within 2 hrs.,spam,,
your request for sim replacement of 9848881942 is in process and will be completed in 20 minutes. insert new sim after 20 minutes to enjoy services.,spam,,
hi! we have received request for sim exchange starting with 89911190185064. please validate this carefully and reply with last 6 digits of new sim number within 2 hrs.,spam,,
"sorry, last 6 digits entered by you are not matching with the digits sent earlier. please sms simex sim number to 55199 to continue with sim replacement.",spam,,
hi! we have received request for sim exchange starting with 89911190185064. please validate this carefully and reply with last 6 digits of new sim number within 2 hrs.,spam,,
"dear customer, your payment of rs.570  by erecharge  has been credited to your account against your bill on 2016-07-09t14:35:36+05:30  thank you  reliance.",spam,,
"dear customer, your payment of rs. 570 has been credited to your account against your bill on 09-07-2016 02:35:36pm . thank you. reliance. ",spam,,
thank you for epayment. use coupon code nhrh0zhbws (till 30-jun-2016) on purchase at www.ebay.in and get 6% off (upto rs. 750). t&c. rcom,spam,,
"dear customer, your payment of rs.570.0  by debit card  has been credited to your account against your bill on 2016-06-09t17:33:41+05:30  thank you  reliance.",spam,,
thank you for epayment. use coupon code ibhldo8i5c (till 30-jun-2016) on purchase at www.ebay.in and get 6% off (upto rs. 750). t&c. rcom,spam,,
"dear customer, your payment of rs.580.0  by debit card  has been credited to your account against your bill on 2016-05-21t09:12:55+05:30  thank you  reliance.",spam,,
welcome to reliance karnataka.get free incoming roaming & all outgoing local/std calls in home & roaming @40p/min for 30 days @ recharge of  rs44. happy roaming!,spam,,
welcome to reliance karnataka.get free incoming roaming & all outgoing local/std calls in home & roaming @40p/min for 30 days @ recharge of  rs44. happy roaming!,spam,,
"welcome to reliance karnataka.get free incoming ,low outgoing rate with oneindia prepaid pack,dial *129*02# or enjoy roam incoming at 45p/min without recharge!",spam,,
thank you for your e-payment. your ebay voucher code is 3uvupen2tx (valid till 30-jun-2016). rcom,spam,,
thank you for your e-payment. your ebay voucher code is 3uvupen2tx (valid till 30-jun-2016). rcom,spam,,
thank you for your e-payment. your ebay voucher code is 3uvupen2tx (valid till 30-jun-2016). rcom,spam,,
thank you for your e-payment. your ebay voucher code is 3uvupen2tx (valid till 30-jun-2016). rcom,spam,,
"dear customer, your payment of rs.570.0  by debit card  has been credited to your account against your bill on 2016-04-08t22:04:02+05:30  thank you  reliance.",spam,,
thank you for your e-payment. your ebay voucher code is 8aoowzwz1h (valid till 31-mar-2016). rcom,spam,,
"dear customer, your payment of rs.615.0  by debit card  has been credited to your account against your bill on 2016-03-11t12:07:28+05:30  thank you  reliance.",spam,,
"dear customer, your payment of rs.580  by erecharge  has been credited to your account against your bill on 2016-02-19t18:42:17+05:30  thank you  reliance.",spam,,
"dear customer, your payment of rs. 580 has been credited to your account against your bill on 19-02-2016 06:42:17pm . thank you. reliance.",spam,,
"dear customer, you have consumed 100% of your total quota allotted. 3g speed will be throttled to 64kbps till next bill. to check data usage send <mbal> to 55444.",spam,,
"welcome to reliance maharashtra.no extra data roaming charges apply while roaming. now use facebook without data pack even while roaming ,with facebook tap.",spam,,
"dear customer, you have consumed 70 % of your total quota allotted on reliance 3g.",spam,,
"dear customer, you have consumed 100% of your total quota allotted. 3g speed will be throttled to 64kbps till next bill. to check data usage send <mbal> to 55444.",spam,,
"dear customer, you have consumed 100% of your total quota allotted. 3g speed will be throttled to 64kbps till next bill. to check data usage send <mbal> to 55444.",spam,,
thank you for your e-payment. your ebay voucher code is cwivhjqcft (valid till 31-mar-2016). rcom,spam,,
"dear customer, your payment of rs.300.0  by debit card  has been credited to your account against your bill on 2016-01-18t16:53:47+05:30  thank you  reliance.",spam,,
"dear customer, you have consumed 70 % of your total quota allotted on reliance 3g.",spam,,
you spoke to arla from reliance. were you satisfied with your interaction. reply -yes or no (toll free),spam,,
"thanks for your e-payment. here are your voucher code ebay:i720zahrcy, valid till 31-dec-2015.rcom",spam,,
"dear customer, your payment of rs.600.0  by debit card  has been credited to your account against your bill on 2015-12-21t20:53:28+05:30  thank you  reliance.",spam,,
"dear reliance user
rs310.44 is due on 23/12/15
pls pay on time to avoid lpc charges. payment options a)instacare app b)rcom.co.in c)nearest fofo",spam,,
thank you. we would like to know more about your experience. would you like to respond to a few questions? reply -yes or no (toll free ),spam,,
you spoke to arla from reliance. were you satisfied with your interaction. reply -yes or no (toll free),spam,,
"dear customer, your payment of rs. 300  has been credited to your account against deposit 2015-12-09t16:35:50+05:30  thank you. reliance .",spam,,
welcome,spam,,
"dear reliance customer, please let us know if you are satisfied with the resolution of last service request reply yes else no.(toll free).",spam,,
"dear customer, your payment of rs.570  by erecharge  has been credited to your account against your bill on 2016-07-09t14:35:36+05:30  thank you  reliance.",spam,,
"dear customer, your payment of rs. 570 has been credited to your account against your bill on 09-07-2016 02:35:36pm . thank you. reliance. ",spam,,
thank you for epayment. use coupon code nhrh0zhbws (till 30-jun-2016) on purchase at www.ebay.in and get 6% off (upto rs. 750). t&c. rcom,spam,,
"dear customer, your payment of rs.570.0  by debit card  has been credited to your account against your bill on 2016-06-09t17:33:41+05:30  thank you  reliance.",spam,,
thank you for epayment. use coupon code ibhldo8i5c (till 30-jun-2016) on purchase at www.ebay.in and get 6% off (upto rs. 750). t&c. rcom,spam,,
"dear customer, your payment of rs.580.0  by debit card  has been credited to your account against your bill on 2016-05-21t09:12:55+05:30  thank you  reliance.",spam,,
welcome to reliance karnataka.get free incoming roaming & all outgoing local/std calls in home & roaming @40p/min for 30 days @ recharge of  rs44. happy roaming!,spam,,
welcome to reliance karnataka.get free incoming roaming & all outgoing local/std calls in home & roaming @40p/min for 30 days @ recharge of  rs44. happy roaming!,spam,,
"welcome to reliance karnataka.get free incoming ,low outgoing rate with oneindia prepaid pack,dial *129*02# or enjoy roam incoming at 45p/min without recharge!",spam,,
thank you for your e-payment. your ebay voucher code is 3uvupen2tx (valid till 30-jun-2016). rcom,spam,,
thank you for your e-payment. your ebay voucher code is 3uvupen2tx (valid till 30-jun-2016). rcom,spam,,
thank you for your e-payment. your ebay voucher code is 3uvupen2tx (valid till 30-jun-2016). rcom,spam,,
thank you for your e-payment. your ebay voucher code is 3uvupen2tx (valid till 30-jun-2016). rcom,spam,,
"dear customer, your payment of rs.570.0  by debit card  has been credited to your account against your bill on 2016-04-08t22:04:02+05:30  thank you  reliance.",spam,,
thank you for your e-payment. your ebay voucher code is 8aoowzwz1h (valid till 31-mar-2016). rcom,spam,,
"dear customer, your payment of rs.615.0  by debit card  has been credited to your account against your bill on 2016-03-11t12:07:28+05:30  thank you  reliance.",spam,,
"dear customer, your payment of rs.580  by erecharge  has been credited to your account against your bill on 2016-02-19t18:42:17+05:30  thank you  reliance.",spam,,
"dear customer, your payment of rs. 580 has been credited to your account against your bill on 19-02-2016 06:42:17pm . thank you. reliance.",spam,,
"dear customer, you have consumed 100% of your total quota allotted. 3g speed will be throttled to 64kbps till next bill. to check data usage send <mbal> to 55444.",spam,,
"welcome to reliance maharashtra.no extra data roaming charges apply while roaming. now use facebook without data pack even while roaming ,with facebook tap.",spam,,
"dear customer, you have consumed 70 % of your total quota allotted on reliance 3g.",spam,,
"dear customer, you have consumed 100% of your total quota allotted. 3g speed will be throttled to 64kbps till next bill. to check data usage send <mbal> to 55444.",spam,,
"dear customer, you have consumed 100% of your total quota allotted. 3g speed will be throttled to 64kbps till next bill. to check data usage send <mbal> to 55444.",spam,,
thank you for your e-payment. your ebay voucher code is cwivhjqcft (valid till 31-mar-2016). rcom,spam,,
"dear customer, your payment of rs.300.0  by debit card  has been credited to your account against your bill on 2016-01-18t16:53:47+05:30  thank you  reliance.",spam,,
"dear customer, you have consumed 70 % of your total quota allotted on reliance 3g.",spam,,
you spoke to arla from reliance. were you satisfied with your interaction. reply -yes or no (toll free),spam,,
"thanks for your e-payment. here are your voucher code ebay:i720zahrcy, valid till 31-dec-2015.rcom",spam,,
"dear customer, your payment of rs.600.0  by debit card  has been credited to your account against your bill on 2015-12-21t20:53:28+05:30  thank you  reliance.",spam,,
"dear reliance user
rs310.44 is due on 23/12/15
pls pay on time to avoid lpc charges. payment options a)instacare app b)rcom.co.in c)nearest fofo",spam,,
thank you. we would like to know more about your experience. would you like to respond to a few questions? reply -yes or no (toll free ),spam,,
you spoke to arla from reliance. were you satisfied with your interaction. reply -yes or no (toll free),spam,,
"dear customer, your payment of rs. 300  has been credited to your account against deposit 2015-12-09t16:35:50+05:30  thank you. reliance .",spam,,
welcome,spam,,
"dear reliance customer, please let us know if you are satisfied with the resolution of last service request reply yes else no.(toll free).",spam,,
"dear customer, your payment of rs.570  by erecharge  has been credited to your account against your bill on 2016-07-09t14:35:36+05:30  thank you  reliance.",spam,,
"dear customer, your payment of rs. 570 has been credited to your account against your bill on 09-07-2016 02:35:36pm . thank you. reliance. ",spam,,
thank you for epayment. use coupon code nhrh0zhbws (till 30-jun-2016) on purchase at www.ebay.in and get 6% off (upto rs. 750). t&c. rcom,spam,,
"dear customer, your payment of rs.570.0  by debit card  has been credited to your account against your bill on 2016-06-09t17:33:41+05:30  thank you  reliance.",spam,,
thank you for epayment. use coupon code ibhldo8i5c (till 30-jun-2016) on purchase at www.ebay.in and get 6% off (upto rs. 750). t&c. rcom,spam,,
"dear customer, your payment of rs.580.0  by debit card  has been credited to your account against your bill on 2016-05-21t09:12:55+05:30  thank you  reliance.",spam,,
welcome to reliance karnataka.get free incoming roaming & all outgoing local/std calls in home & roaming @40p/min for 30 days @ recharge of  rs44. happy roaming!,spam,,
welcome to reliance karnataka.get free incoming roaming & all outgoing local/std calls in home & roaming @40p/min for 30 days @ recharge of  rs44. happy roaming!,spam,,
"welcome to reliance karnataka.get free incoming ,low outgoing rate with oneindia prepaid pack,dial *129*02# or enjoy roam incoming at 45p/min without recharge!",spam,,
thank you for your e-payment. your ebay voucher code is 3uvupen2tx (valid till 30-jun-2016). rcom,spam,,
thank you for your e-payment. your ebay voucher code is 3uvupen2tx (valid till 30-jun-2016). rcom,spam,,
